anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
2009,17,Robos agravados por el resultado de lesiones y/o muertes ,8200,,,,,20.31315,,,
2009,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,567,,,,,1.40458,,,
2009,19,Hurtos,271860,,,,,673.45526,,,
2009,2,Homicidios dolosos en grado de tentativa,1232,1258,522,165,571,3.0519271,3.1163344,2.644444,.79986691
2009,20,Tentativas de hurto,6519,,,,,16.148954,,,
2009,21,Otros delitos contra la propiedad,91413,,,,,226.44951,,,
2009,22,Delitos contra la seguridad pública,21978,,,,,54.444199,,,
2009,23,Delitos contra el orden público,1404,,,,,3.4780078,,,
2009,24,Delitos contra la seguridad de la nación,41,,,,,.10156576,,,
2009,25,Delitos contra los poderes públicos y el orden constitucional,164,,,,,.40626302,,,
2009,26,Delitos contra la administración pública,23537,,,,,58.306175,,,
2009,27,Delitos contra la fe pública,4198,,,,,10.399343,,,
2009,28,Ley 23.737 (estupefacientes),38996,,,,,96.601418,,,
2009,29,Otros delitos previstos en leyes especiales,29270,,,,,72.508041,,,
2009,3,Muertes en accidentes viales,3483,3824,2023,568,1233,8.6281347,9.4728642,10.248487,2.7534811
2009,30,Contravenciones,99126,,,,,245.55626,,,
2009,31,Suicidios (consumados),3069,3087,112,42,1974,8.3368311,8.3857269,.62529135,.22221188
2009,4,Homicidios culposos por otros hechos,937,990,347,152,208,2.3211491,2.4524415,1.7578967,.7368471
2009,5,Lesiones dolosas,151408,156621,48801,38760,69060,375.06995,387.98364,247.22511,187.89601
2009,6,Lesiones culposas en Accidentes Viales,99233,115188,46978,22212,10485,245.82132,285.34528,237.98982,107.67663
2009,7,Lesiones culposas por otros hechos,17621,18167,2545,1455,10624,43.650978,45.003536,12.892931,7.0533719
2009,8,Otros delitos contra las personas,29097,29715,11141,12256,6318,72.079483,73.610397,56.440136,59.413143
